Rank,Country/Region,Electricity consumption(kW·h/yr) ,Year of Data,Source,Population,As of,Average electrical energy per capita(kWh per person per year),Average power per capita(watts per person)
64, Serbia,"""26,910,000,000""",2014 EST.,CIA,"""7,143,921""",2016,"""3,766""",430
65, Bahrain,"""25,000,000,000""",2014 EST.,CIA,"""1,378,904""",2016,"""18,130""","""2,069"""
66, Ireland,"""25,000,000,000""",2014 EST.,CIA,"""4,952,473""",2016,"""5,047""",576
67, Oman,"""25,000,000,000""",2014 EST.,CIA,"""3,355,262""",2016,"""7,450""",850
68, Nigeria,"""24,000,000,000""",2014 EST.,CIA,"""186,053,386""",2016,128,14
69, Hungary,"""21,550,000,000""",2015 EST.,CIA,"""9,874,784""",2016,"""2,182""",249
70, Ecuador,"""21,000,000,000""",2014 EST.,CIA,"""16,080,778""",2016,"""1,305""",149
71, Azerbaijan,"""20,000,000,000""",2014 EST.,CIA,"""9,872,765""",2016,"""2,025""",231
72, Puerto Rico,"""19,000,000,000""",2014 EST.,CIA,"""3,578,056""",2016,"""5,310""",606
73, Iceland,"""17,000,000,000""",2014 EST.,CIA,"""335,878""",2016,"""50,613""","""5,777"""
74, Syria,"""17,000,000,000""",2014 EST.,CIA,"""17,185,170""",2016,989,112
75, Croatia,"""16,970,000,000""",2014 EST.,CIA,"""4,313,707""",2016,"""3,933""",449
76, Jordan,"""16,000,000,000""",2014 EST.,CIA,"""8,185,384""",2016,"""1,954""",223
77, Lebanon,"""16,000,000,000""",2014 EST.,CIA,"""6,237,738""",2016,"""2,565""",292
78, Dominican Republic,"""15,140,000,000""",2014 EST.,CIA,"""10,606,865""",2016,"""1,427""",162
79, Tunisia,"""15,000,000,000""",2014 EST.,CIA,"""11,179,995""",2016,"""1,341""",153
80, Cuba,"""15,000,000,000""",2014 EST.,CIA,"""25,115,311""",2016,1400,68
81,""" Korea, North""","""15,000,000,000""",2014 EST.,CIA,"""11,134,588""",2016,"""1,347""",153
82, Slovenia,"""13,000,000,000""",2014 EST.,CIA,"""1,978,029""",2016,"""6,572""",750
83, Turkmenistan,"""13,000,000,000""",2014 EST.,CIA,"""5,291,317""",2016,"""2,456""",280
84, Tajikistan,"""12,000,000,000""",2014 EST.,CIA,"""8,330,946""",2016,"""1,440""",164
85, Mozambique,"""12,000,000,000""",2014 EST.,CIA,"""25,930,150""",2016,462,52
86, Kyrgyzstan,"""11,000,000,000""",2014 EST.,CIA,"""5,727,553""",2016,"""1,920""",219
87, Sri Lanka,"""11,000,000,000""",2014 EST.,CIA,"""22,235,000""",2016,494,56
88, Zambia,"""11,000,000,000""",2014 EST.,CIA,"""15,510,711""",2016,709,80
89, Bosnia and Herzegovina,"""11,000,000,000""",2014 EST.,CIA,"""3,861,912""",2016,"""2,848""",325
90, Myanmar,"""11,000,000,000""",2014 EST.,CIA,"""56,890,418""",2016,193,22
91, Uruguay,"""10,000,000,000""",2014 EST.,CIA,"""3,351,016""",2016,"""2,984""",340
92, Lithuania,"""9,900,000,000""",2014 EST.,CIA,"""2,854,235""",2016,"""3,468""",395
93, Sudan,"""9,900,000,000""",2014 EST.,CIA,"""36,729,501""",2016,269,30
94, Georgia,"""9,800,000,000""",2014 EST.,CIA,"""4,928,052""",2016,"""1,988""",227
95, Paraguay,"""9,700,000,000""",2014 EST.,CIA,"""6,862,812""",2016,"""1,413""",161
96, Libya,"""9,300,000,000""",2014 EST.,CIA,"""6,541,948""",2016,"""1,421""",162
97,""" Congo, Democratic Republic of the""","""9,300,000,000""",2014 EST.,CIA,"""81,331,050""",2016,114,13
98, Costa Rica,"""9,200,000,000""",2014 EST.,CIA,"""4,872,543""",2016,"""1,888""",215
99, Ghana,"""9,200,000,000""",2014 EST.,CIA,"""26,908,262""",2016,341,39
100, Trinidad and Tobago,"""9,100,000,000""",2014 EST.,CIA,"""1,220,479""",2016,"""7,456""",851
101, Guatemala,"""8,915,000,000""",2014 EST.,CIA,"""15,189,958""",2016,586,66
102, Estonia,"""8,200,000,000""",2014 EST.,CIA,"""1,258,545""",2016,"""6,515""",743
103, Angola,"""8,100,000,000""",2014 EST.,CIA,"""20,172,332""",2016,401,45
104, Zimbabwe,"""8,000,000,000""",2014 EST.,CIA,"""14,546,961""",2016,549,62
105, Panama,"""7,800,000,000""",2014 EST.,CIA,"""3,705,246""",2016,"""2,105""",240
106, Albania,"""7,793,000,000""",2014 EST.,CIA,"""3,038,594""",2016,"""2,564""",292
107, Kenya,"""7,600,000,000""",2014 EST.,CIA,"""46,790,758""",2016,162,18
108, Bolivia,"""7,500,000,000""",2014 EST.,CIA,"""10,969,649""",2016,683,78
109, North Macedonia,"""6,960,000,000""",2014 EST.,CIA,"""2,100,025""",2016,"""3,314""",378
110, Latvia,"""6,800,000,000""",2014 EST.,CIA,"""1,965,686""",2016,"""3,459""",394
111, Ethiopia,"""6,700,000,000""",2014 EST.,CIA,"""102,374,044""",2016,65,7
112, Luxembourg,"""6,200,000,000""",2014 EST.,CIA,"""582,291""",2016,"""10,647""","""1,215"""
113, Cameroon,"""6,100,000,000""",2014 EST.,CIA,"""24,360,803""",2016,250,28
114, Ivory Coast,"""5,800,000,000""",2014 EST.,CIA,"""23,740,424""",2016,244,27
115, El Salvador,"""5,700,000,000""",2014 EST.,CIA,"""6,156,670""",2016,925,105
116, Mongolia,"""5,600,000,000""",2014 EST.,CIA,"""3,031,330""",2016,"""1,847""",210
117, Honduras,"""5,300,000,000""",2014 EST.,CIA,"""8,893,259""",2016,595,68
118, West Bank,"""5,200,000,000""",2014 EST.,CIA,"""2,697,687""",2016,"""1,927""",220
119, Yemen,"""5,200,000,000""",2014 EST.,CIA,"""27,392,779""",2016,189,21
120, Armenia,"""5,100,000,000""",2014 EST.,CIA,"""3,051,250""",2016,"""1,671""",190
121, Tanzania,"""5,000,000,000""",2014 EST.,CIA,"""52,482,726""",2016,95,10
122, Afghanistan,"""4,700,000,000""",2014 EST.,CIA,"""33,332,025""",2016,141,16
123, Macau,"""4,500,000,000""",2014 EST.,CIA,"""597,425""",2016,"""7,532""",859
124, Nicaragua,"""4,412,000,000""",2014 EST.,CIA,"""5,966,798""",2016,739,84
125, Moldova,"""4,305,000,000""",2014 EST.,CIA,"""3,510,485""",2016,"""1,226""",139
126, Cambodia,"""4,100,000,000""",2014 EST.,CIA,"""15,957,223""",2016,256,29
127, Laos,"""3,900,000,000""",2014 EST.,CIA,"""7,019,073""",2016,555,63
128,   Nepal,"""6,394,380,000""",2018 EST.,NEA[6],"""29,033,914""",2016,134,15
129, Cyprus,"""3,900,000,000""",2014 EST.,CIA,"""1,205,575""",2016,"""3,234""",369
130, Brunei,"""3,766,000,000""",2014 EST.,CIA,"""436,620""",2016,"""8,625""",984
131, Botswana,"""3,700,000,000""",2014 EST.,CIA,"""2,209,208""",2016,"""1,674""",191
132, Namibia,"""3,700,000,000""",2014 EST.,CIA,"""2,436,469""",2016,"""1,518""",173
133, Papua New Guinea,"""3,000,000,000""",2014 EST.,CIA,"""6,791,317""",2016,441,50
134, Senegal,"""3,000,000,000""",2014 EST.,CIA,"""14,320,055""",2016,209,23
135, Kosovo,"""2,887,000,000""",2014 EST.,CIA,"""1,883,018""",2016,"""1,533""",175
136, Montenegro,"""2,800,000,000""",2014 EST.,CIA,"""644,578""",2016,"""4,343""",495
137, Jamaica,"""2,800,000,000""",2014 EST.,CIA,"""2,970,340""",2016,942,107
138, Uganda,"""2,700,000,000""",2014 EST.,CIA,"""38,319,241""",2016,70,8
139, Mauritius,"""2,600,000,000""",2014 EST.,CIA,"""1,348,242""",2016,"""1,928""",220
140, Gabon,"""2,100,000,000""",2014 EST.,CIA,"""1,738,541""",2016,"""1,207""",137
141, Bhutan,"""2,085,000,000""",2014 EST.,CIA,"""750,125""",2016,"""2,779""",317
142, New Caledonia,"""2,000,000,000""",2014 EST.,CIA,"""275,355""",2016,"""7,263""",829
143, Malta,"""2,000,000,000""",2014 EST.,CIA,"""415,196""",2016,"""4,817""",549
144, Suriname,"""1,900,000,000""",2014 EST.,CIA,"""585,824""",2016,"""3,243""",370
145, Malawi,"""1,900,000,000""",2014 EST.,CIA,"""18,570,321""",2016,102,11
146, Bahamas,"""1,600,000,000""",2014 EST.,CIA,"""327,316""",2016,"""4,888""",558
147, Guam,"""1,500,000,000""",2014 EST.,CIA,"""162,742""",2016,"""9,217""","""1,052"""
148, Swaziland,"""1,500,000,000""",2014 EST.,CIA,"""1,451,428""",2016,"""1,033""",117
149, Mali,"""1,400,000,000""",2014 EST.,CIA,"""17,467,108""",2016,80,9
150, Liechtenstein,"""1,360,000,000""",2012,CIA,"""37,937""",2016,"""35,848""","""4,092"""
151, Madagascar,"""1,300,000,000""",2014 EST.,CIA,"""24,430,325""",2016,53,6
152, Burkina Faso,"""1,200,000,000""",2014 EST.,CIA,"""19,512,533""",2016,61,7
153, Niger,"""1,200,000,000""",2014 EST.,CIA,"""18,638,600""",2016,64,7
154, Togo,"""1,100,000,000""",2014 EST.,CIA,"""7,756,937""",2016,141,16
155, Benin,"""1,000,000,000""",2014 EST.,CIA,"""10,741,458""",2016,93,10
156, Curacao,"""968,000,000""",2008 EST.,CIA,"""149,035""",2016,"""6,495""",741
157,""" Congo, Republic of the""","""900,000,000""",2014 EST.,CIA,"""4,852,412""",2016,185,21
158, Guinea,"""900,000,000""",2014 EST.,CIA,"""12,093,349""",2016,74,8
159, Barbados,"""900,000,000""",2014 EST.,CIA,"""291,495""",2016,"""3,087""",352
160, Mauritania,"""800,000,000""",2014 EST.,CIA,"""3,677,293""",2016,217,24
161, Lesotho,"""800,000,000""",2014 EST.,CIA,"""1,953,070""",2016,409,46
162, Guyana,"""800,000,000""",2014 EST.,CIA,"""735,909""",2016,"""1,087""",124
163, Fiji,"""800,000,000""",2014 EST.,CIA,"""915,303""",2016,874,99
164, Aruba,"""800,000,000""",2014 EST.,CIA,"""113,648""",2016,"""7,039""",803
165, French Polynesia,"""700,000,000""",2014 EST.,CIA,"""285,321""",2016,"""2,453""",280
166, South Sudan,"""694,100,000""",2012 EST.,CIA,"""12,530,717""",2016,55,6
167, Jersey,"""630,100,000""",2004 EST.,CIA,"""98,069""",2016,"""6,425""",733
168, Bermuda,"""600,000,000""",2014 EST.,CIA,"""70,537""",2016,"""8,506""",971
169, Cayman Islands,"""600,000,000""",2014 EST.,CIA,"""57,268""",2016,"""10,477""","""1,196"""
170, U.S. Virgin Islands,"""600,000,000""",2014 EST.,CIA,"""102,951""",2016,"""5,828""",665
171, Marshall Islands,"""600,000,000""",2014 EST.,CIA,"""73,376""",2016,"""8,177""",933
172, Andorra,"""562,400,000""",2012,CIA,"""85,660""",2016,"""6,565""",749
173, Rwanda,"""500,000,000""",2014 EST.,CIA,"""12,988,423""",2016,38,4
174, Burundi,"""400,000,000""",2014 EST.,CIA,"""11,099,298""",2016,36,4
175, Belize,"""400,000,000""",2014 EST.,CIA,"""353,858""",2016,"""1,130""",129
176, Djibouti,"""400,000,000""",2014 EST.,CIA,"""846,687""",2016,472,53
177, Haiti,"""400,000,000""",2014 EST.,CIA,"""10,485,800""",2016,38,4
178, Seychelles,"""300,000,000""",2014 EST.,CIA,"""93,186""",2016,"""3,219""",367
179, Somalia,"""300,000,000""",2014 EST.,CIA,"""10,817,354""",2016,27,3
180, Saint Lucia,"""300,000,000""",2014 EST.,CIA,"""164,464""",2016,"""1,824""",208
181, Antigua and Barbuda,"""300,000,000""",2014 EST.,CIA,"""93,581""",2016,"""3,205""",365
182, Cabo Verde,"""300,000,000""",2014 EST.,CIA,"""553,432""",2016,542,61
183, Eritrea,"""300,000,000""",2014 EST.,CIA,"""5,869,869""",2016,51,5
184, Faroe Islands,"""300,000,000""",2014 EST.,CIA,"""50,456""",2016,"""5,945""",678
185, Gambia,"""300,000,000""",2014 EST.,CIA,"""2,009,648""",2016,149,17
186, Greenland,"""300,000,000""",2014 EST.,CIA,"""57,728""",2016,"""5,196""",593
187, Liberia,"""300,000,000""",2014 EST.,CIA,"""4,299,944""",2016,69,7
188, Maldives,"""300,000,000""",2014 EST.,CIA,"""392,960""",2016,763,87
189, Northern Mariana Islands,"""224,002,000""",2012,NREL[7],"""53,467""",2016,"""4,190""",478
190, Chad,"""200,000,000""",2014 EST.,CIA,"""11,852,462""",2016,16,1
191, Saint Kitts and Nevis,"""200,000,000""",2014 EST.,CIA,"""52,329""",2016,"""3,821""",436
192, Central African Republic,"""200,000,000""",2014 EST.,CIA,"""5,507,257""",2016,36,4
193, Sierra Leone,"""200,000,000""",2014 EST.,CIA,"""6,018,888""",2016,33,3
194, Turks and Caicos Islands,"""200,000,000""",2014 EST.,CIA,"""51,430""",2016,"""3,888""",443
195, Gibraltar,"""200,000,000""",2014 EST.,CIA,"""29,328""",2016,"""6,819""",778
196, Grenada,"""200,000,000""",2014 EST.,CIA,"""111,219""",2016,"""1,798""",205
197,""" Micronesia, Federated States of""","""178,600,000""",2002,CIA,"""104,719""",2016,"""1,705""",194
198, Timor-Leste,"""125,300,000""",2014 EST.,CIA,"""1,261,072""",2016,99,11
199, British Virgin Islands,"""100,000,000""",2014 EST.,CIA,"""34,232""",2016,"""2,921""",333
200, Saint Vincent and the Grenadines,"""100,000,000""",2014 EST.,CIA,"""102,350""",2016,977,111
201, American Samoa,"""100,000,000""",2014 EST.,CIA,"""54,194""",2016,"""1,845""",210
202, Samoa,"""100,000,000""",2014 EST.,CIA,"""198,926""",2016,502,57
203, Equatorial Guinea,"""91,140,000""",2014 EST.,CIA,"""759,451""",2016,120,13
205, Dominica,"""90,210,000""",2014 EST.,CIA,"""73,757""",2016,"""1,223""",139
206, Solomon Islands,"""79,050,000""",2014 EST.,CIA,"""635,027""",2016,124,14
207, Sao Tome and Principe,"""65,100,000""",2014 EST.,CIA,"""197,541""",2016,329,37
208, Vanuatu,"""55,800,000""",2014 EST.,CIA,"""277,554""",2016,201,22
209, Tonga,"""46,500,000""",2014 EST.,CIA,"""106,513""",2016,436,49
210, Saint Pierre and Miquelon,"""41,850,000""",2014 EST.,CIA,"""5,595""",2016,"""7,479""",852
211, Comoros,"""40,920,000""",2014 EST.,CIA,"""794,678""",2016,51,5
212, Guinea-Bissau,"""31,620,000""",2014 EST.,CIA,"""1,759,159""",2016,17,2
213, Cook Islands,"""31,620,000""",2014 EST.,CIA,"""9,556""",2016,"""3,308""",377
214, Kiribati,"""27,900,000""",2014 EST.,CIA,"""106,925""",2016,260,29
215, Nauru,"""23,250,000""",2014 EST.,CIA,"""9,591""",2016,"""2,424""",276
216, Montserrat,"""21,390,000""",2014 EST.,CIA,"""5,267""",2016,"""4,061""",463
217, Falkland Islands,"""13,950,000""",2014 EST.,CIA,"""2,931""",2016,"""4,759""",543
218,""" Saint Helena, Ascension and Tristan da Cunha""","""9,300,000""",2014 EST.,CIA,"""7,795""",2016,"""1,193""",136
219, Niue,"""3,720,000""",2014 EST.,CIA,"""1,190""",2016,"""3,126""",356
219, Gaza Strip,"""202,000[contradictory]""",2009,CIA,"""1,753,327""",2016,0.1,0.01
